Disc:IS_FRAAsAssessError -> Float32[0.7752101, 0.775211, 0.7752102, 0.7752106, 0.77521175, 0.7752102, 0.77521044, 0.77521044, 0.7752107, 0.7752112, 0.775211, 0.7752101, 0.77521217, 0.7752106, 0.7752107, 0.77521145, 0.77521086, 0.7752086, 0.7752085, 0.77520466, 0.77520204, 0.77519333, 0.7751796, 0.77515507, 0.7751134, 0.77503806, 0.77490115, 0.7746567, 0.77421486, 0.7733992, 0.77187204, 0.76893884, 0.7631768, 0.75177956, 0.7295363, 0.6872635, 0.6101321, 0.48750702, 0.20489824, 0.12926185]
Disc:SS_NoAAsExecError -> Float32[0.021838736, 0.021803407, 0.021926792, 0.021930387, 0.021880237, 0.021879477, 0.021810882, 0.021933127, 0.02185457, 0.021918882, 0.02184647, 0.0219422, 0.021954052, 0.021836078, 0.021879932, 0.022033742, 0.022042973, 0.021924414, 0.021809254, 0.021879341, 0.021901898, 0.021914631, 0.021982009, 0.021761362, 0.021877002, 0.022085227, 0.022166194, 0.0224431, 0.02286741, 0.023514546, 0.024881512, 0.02703844, 0.030962087, 0.038211115, 0.050169118, 0.072311394, 0.11118214, 0.1802426, 0.30286077, 0.5]
Disc:SS_NoAAsAssignError -> Float32[0.031857524, 0.031926695, 0.031874865, 0.031969294, 0.031959962, 0.031886525, 0.03180206, 0.031831246, 0.031962752, 0.03184669, 0.031892538, 0.03185631, 0.031845767, 0.031937387, 0.031868942, 0.031906523, 0.03179833, 0.03183998, 0.031914808, 0.031896796, 0.03195894, 0.031883117, 0.031867363, 0.031549662, 0.031872127, 0.03215095, 0.032016054, 0.0319059, 0.031878047, 0.031890903, 0.031832814, 0.03174708, 0.03201776, 0.031694207, 0.03200644, 0.031596012, 0.031557407, 0.031334855, 0.031112237, 0.030772338]
Disc:SS_NoAAsAssessError -> Float32[0.031919643, 0.032063857, 0.031950355, 0.03212049, 0.032050986, 0.031943142, 0.031970195, 0.032003168, 0.03201606, 0.031928472, 0.032273784, 0.032027982, 0.03201212, 0.03204762, 0.03182195, 0.031985756, 0.032126416, 0.03211754, 0.031998247, 0.031889338, 0.032031674, 0.031951014, 0.0321362, 0.031964414, 0.031970296, 0.031963393, 0.03199321, 0.031587455, 0.03193459, 0.03194536, 0.032044344, 0.031900235, 0.031872414, 0.03197946, 0.03185768, 0.031583123, 0.031392165, 0.031189274, 0.030969763, 0.030718422]
Disc:SS_AAsExecError -> Float32[0.9491213, 0.94911873, 0.9491178, 0.94912475, 0.94912344, 0.9491203, 0.9491217, 0.9491208, 0.94912267, 0.94912165, 0.94912004, 0.94912493, 0.9491192, 0.94912046, 0.9491206, 0.94912827, 0.94912165, 0.9491228, 0.9491173, 0.9491102, 0.9491034, 0.9490931, 0.94906527, 0.9490219, 0.9489546, 0.9488187, 0.9485855, 0.94817364, 0.9474413, 0.94614583, 0.94385797, 0.93980664, 0.932674, 0.9201779, 0.8984959, 0.8614391, 0.7993491, 0.68381, 0.49638942, 0.5]
Disc:SS_AAsAssignError -> Float32[0.9310274, 0.9310277, 0.9310282, 0.9310282, 0.93103486, 0.93102777, 0.931028, 0.9310188, 0.9310272, 0.93102884, 0.93103147, 0.931028, 0.93102795, 0.9310253, 0.9310273, 0.93102777, 0.9310258, 0.93102264, 0.9310313, 0.9310244, 0.9310184, 0.9310128, 0.93099767, 0.9309682, 0.93093634, 0.93088025, 0.9307603, 0.9305545, 0.93019265, 0.92954, 0.9283955, 0.92635, 0.92272055, 0.91621757, 0.9045486, 0.88333035, 0.84324336, 0.64241415, 0.15872212, 0.13009688]
Disc:SS_AAsAssessError -> Float32[0.9490172, 0.9490198, 0.94901776, 0.9490171, 0.949017, 0.94902045, 0.9490185, 0.94901586, 0.9490136, 0.9490201, 0.94902086, 0.94901747, 0.9490181, 0.94902223, 0.94902277, 0.9490171, 0.94901675, 0.94901586, 0.94901234, 0.9490056, 0.9489986, 0.94898665, 0.948964, 0.9489218, 0.9488457, 0.9487174, 0.94849354, 0.94807875, 0.9473457, 0.9460662, 0.9437865, 0.9397664, 0.9326628, 0.920204, 0.8984115, 0.8602861, 0.7818833, 0.18951692, 0.14502643, 0.12926167]
Disc:SS_FRAAsExecError -> Float32[0.9491194, 0.9491204, 0.94912326, 0.9491172, 0.94911957, 0.9491204, 0.94911855, 0.94912076, 0.94912016, 0.94911754, 0.9491241, 0.94911796, 0.94912213, 0.949117, 0.9491198, 0.94911975, 0.94911724, 0.9491193, 0.9491154, 0.94911206, 0.94910264, 0.94908905, 0.9490679, 0.94902515, 0.94895095, 0.94882417, 0.94858533, 0.9481753, 0.9474434, 0.9461429, 0.9438545, 0.9398204, 0.9326686, 0.920182, 0.89849293, 0.86143476, 0.79935306, 0.6838071, 0.49638966, 0.5]
Disc:SS_FRAAsAssignError -> Float32[0.9310299, 0.93102694, 0.9310275, 0.93102884, 0.9310304, 0.9310298, 0.9310277, 0.9310277, 0.9310286, 0.9310284, 0.9310199, 0.93103147, 0.93101966, 0.93103707, 0.93103606, 0.93101764, 0.9310228, 0.93102694, 0.9310187, 0.931018, 0.93101954, 0.9310126, 0.9310002, 0.9309794, 0.93094164, 0.93088263, 0.9307625, 0.9305488, 0.93018997, 0.92954177, 0.92839277, 0.92634994, 0.9227155, 0.9162033, 0.90454215, 0.8833333, 0.843248, 0.64241385, 0.15872231, 0.13009688]
Disc:SS_FRAAsAssessError -> Float32[0.9490141, 0.9490182, 0.94901735, 0.94902885, 0.94901645, 0.9490156, 0.94902, 0.9490263, 0.9490228, 0.9490202, 0.9490181, 0.9490189, 0.94901776, 0.9490208, 0.94901997, 0.9490147, 0.94901824, 0.9490119, 0.9490099, 0.9490156, 0.949, 0.94899213, 0.9489631, 0.94892716, 0.94885105, 0.94871956, 0.9484904, 0.9480793, 0.9473498, 0.9460655, 0.9437895, 0.93976176, 0.93266505, 0.9202082, 0.8984145, 0.8602922, 0.78188837, 0.18951927, 0.14502776, 0.12926096]
